NeuS2 Evaluation Log
==================================================
Dataset: nerf_synthetic
Scene: lego
Checkpoint: /home/nilkel/Projects/NeuS/NeuS2/nerf_synthetic/lego/surface/cleanfixed/checkpoints/20000.msgpack
Test JSON: /home/nilkel/Projects/data/nerf_synthetic/lego/transforms_test.json
Background Color: black
Samples per Pixel: 8
Start Time: 2025-08-22 13:24:22
Output Path: nerf_synthetic/lego/surface/cleanfixed/evaluation
==================================================

Frame 0 (./test/r_0): PSNR=34.38, SSIM=0.976, LPIPS=0.036
Frame 1 (./test/r_1): PSNR=29.16, SSIM=0.971, LPIPS=0.039
Frame 2 (./test/r_2): PSNR=25.67, SSIM=0.967, LPIPS=0.042
Frame 3 (./test/r_3): PSNR=24.84, SSIM=0.964, LPIPS=0.042
Frame 4 (./test/r_4): PSNR=24.68, SSIM=0.963, LPIPS=0.044
Frame 5 (./test/r_5): PSNR=25.76, SSIM=0.964, LPIPS=0.043
Frame 6 (./test/r_6): PSNR=26.81, SSIM=0.964, LPIPS=0.042
Frame 7 (./test/r_7): PSNR=27.45, SSIM=0.965, LPIPS=0.042
Frame 8 (./test/r_8): PSNR=25.87, SSIM=0.965, LPIPS=0.042
Frame 9 (./test/r_9): PSNR=23.89, SSIM=0.966, LPIPS=0.042
Frame 10 (./test/r_10): PSNR=23.49, SSIM=0.968, LPIPS=0.040
Frame 11 (./test/r_11): PSNR=23.92, SSIM=0.969, LPIPS=0.039
Frame 12 (./test/r_12): PSNR=25.12, SSIM=0.971, LPIPS=0.038
Frame 13 (./test/r_13): PSNR=27.69, SSIM=0.975, LPIPS=0.037
Frame 14 (./test/r_14): PSNR=32.08, SSIM=0.978, LPIPS=0.033
Frame 15 (./test/r_15): PSNR=35.21, SSIM=0.981, LPIPS=0.031
Frame 16 (./test/r_16): PSNR=35.73, SSIM=0.982, LPIPS=0.029
Frame 17 (./test/r_17): PSNR=35.81, SSIM=0.982, LPIPS=0.028
Frame 18 (./test/r_18): PSNR=35.58, SSIM=0.982, LPIPS=0.030
Frame 19 (./test/r_19): PSNR=35.33, SSIM=0.980, LPIPS=0.032
Frame 20 (./test/r_20): PSNR=34.49, SSIM=0.978, LPIPS=0.035
Frame 21 (./test/r_21): PSNR=34.25, SSIM=0.978, LPIPS=0.037
Frame 22 (./test/r_22): PSNR=34.41, SSIM=0.978, LPIPS=0.036
Frame 23 (./test/r_23): PSNR=34.50, SSIM=0.979, LPIPS=0.036
Frame 24 (./test/r_24): PSNR=34.52, SSIM=0.978, LPIPS=0.037
Frame 25 (./test/r_25): PSNR=34.45, SSIM=0.977, LPIPS=0.035
Frame 26 (./test/r_26): PSNR=34.48, SSIM=0.978, LPIPS=0.036
Frame 27 (./test/r_27): PSNR=34.40, SSIM=0.979, LPIPS=0.034
Frame 28 (./test/r_28): PSNR=33.78, SSIM=0.978, LPIPS=0.034
Frame 29 (./test/r_29): PSNR=32.96, SSIM=0.977, LPIPS=0.034
Frame 30 (./test/r_30): PSNR=32.28, SSIM=0.976, LPIPS=0.035
Frame 31 (./test/r_31): PSNR=31.34, SSIM=0.973, LPIPS=0.036
Frame 32 (./test/r_32): PSNR=30.96, SSIM=0.972, LPIPS=0.038
Frame 33 (./test/r_33): PSNR=30.99, SSIM=0.973, LPIPS=0.037
Frame 34 (./test/r_34): PSNR=31.18, SSIM=0.973, LPIPS=0.037
Frame 35 (./test/r_35): PSNR=31.58, SSIM=0.973, LPIPS=0.035
Frame 36 (./test/r_36): PSNR=32.00, SSIM=0.974, LPIPS=0.035
Frame 37 (./test/r_37): PSNR=32.56, SSIM=0.975, LPIPS=0.036
Frame 38 (./test/r_38): PSNR=32.72, SSIM=0.975, LPIPS=0.036
Frame 39 (./test/r_39): PSNR=32.96, SSIM=0.976, LPIPS=0.036
Frame 40 (./test/r_40): PSNR=33.10, SSIM=0.976, LPIPS=0.037
Frame 41 (./test/r_41): PSNR=33.00, SSIM=0.975, LPIPS=0.037
Frame 42 (./test/r_42): PSNR=32.84, SSIM=0.974, LPIPS=0.037
Frame 43 (./test/r_43): PSNR=32.24, SSIM=0.971, LPIPS=0.039
Frame 44 (./test/r_44): PSNR=29.45, SSIM=0.967, LPIPS=0.041
Frame 45 (./test/r_45): PSNR=27.89, SSIM=0.966, LPIPS=0.041
Frame 46 (./test/r_46): PSNR=27.19, SSIM=0.965, LPIPS=0.041
Frame 47 (./test/r_47): PSNR=27.97, SSIM=0.966, LPIPS=0.040
Frame 48 (./test/r_48): PSNR=28.95, SSIM=0.968, LPIPS=0.040
Frame 49 (./test/r_49): PSNR=30.74, SSIM=0.970, LPIPS=0.039
